Path;FileName;EN;DE
;fbwb;fly by wire, B;Fliegen Sie durch Draht B
;flapfll;flaps, full;Klappen ausgefahren
;flaphlf;flaps, half;Klappen halfte
;flapsup;flaps, up;Klappen eingefahren
;flwmemd;follow me mode;Modus folgen mir
;giddmd;guided mode;Modus geführt
;gpsmd;GPS mode;Modus GPS
;hirates;high rates;Wirft voll
;hrznmd;horizon mode;Modus-Horizont
;hvrmd;hover mode;Modus schweben
;hybrdmd;hybrid mode;Modus hybrid
;knfedgm;knife edge mix;Messer schneiden
;lndgmd;land mode;Modus landen
;lhtsoff;lights oghf;Lichten aus
;lhtson;lights awn;Lichter an
;lnchmd;launch mode;Modus abheben
;lndgmd;landing mode;Modus Landung
;loitr;loiter;bummeln
;loitrmd;loiter mode;Modus bumeln
;lowrates;low rates;Wirft niedrig
;lwstcell;lowest cell;Zelle niedrigste
;manmd;manual mode;Modus Handbuch
;midrates;middle rates;Wirft mitten
;osdsw;OSD Switch;OSD Schalter
;poshld;position hold;Stellung halten
;racemd;race mode;Modus Rennen
;rtl;return to launch;Zurück zum Start
;smokeoff;smoke off;Rauch aus
;smokeon;smoke on;Rauchen auf
;speedmd;speed mode;Modus Geschwindigkeit
;sprtmd;sport mode;Modus Sport
;stbloff;stabilization oghf;Stabilisierung aus
;stblon;stabilization awn;Stabilisierung auf
;stblzmd;stabilize mode;Modus Stabilisierung
;thract;throttle active;Drossel aktiv
;thrdis;throttle disabled;drosseln Deaktiviert
;thrhold;throttle hold;drosseln halten
;thrmlmd;thermal mode;Modus Thermisch
;trngmd;training mode;Modus Ausbildung
